name,classification,category,source,scope,url,NP_selflessness,NP_integrity,NP_objectivity,NP_accountability,NP_openness,NP_honesty,NP_leadership,NP_all,notes,url_source,code_url,code_name,match,level,adopts_7,principles_count_mentioned,NP_score,nolan_inconsistency,confidence,human_review,scraped_date

Abbots Bromley Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.abbotsbromley.com,N,N,N,Y,N,N,N,No,,,https://abbotsbromley.com/wp-content/uploads/2025/04/Newsletter-35.pdf,November 2007 (406.90 KB),code of conduct; code of practice,individual,No,,1,No,Medium,No,2026-09-09

Abbots Langley Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.abbotslangley-pc.gov.uk,N,N,N,N,N,N,N,No,,,https://www.abbotslangley-pc.gov.uk/wp-content/uploads/sites/4/2025/01/ALPC-Staffing-Agenda-2026-01.pdf,Staffing Agenda Jan 2026 (pdf),code of conduct,individual,No,,0,No,Medium,No,2026-09-09

Abbots Leigh Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://www.abbotsleigh.org.uk/parish-council/about-parish-council/?loggedin=true,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Abbots Morton Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,

Abbots Ripton Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://abbotsripton.org.uk/,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09





Abbotsbury Parish Council,,Parish Council ,FOIA | ONS,IS,,,,,,,,,,,,,,,,,,,,,,

Abbotsham Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://abbotshamdevon.weebly.com/parish-council.html,Y,Y,N,N,N,N,N,No,,found_via_name_search,http://abbotshamdevon.weebly.com/uploads/2/4/9/0/24903442/standing-orders.pdf,Parish Council Standing Orders,code of conduct,individual,No,,2,No,Medium,No,2026-09-09



Abbotskerswell Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.abbotskerswell-pc.gov.uk/,N,N,N,N,N,N,N,No,,found_via_name_search,https://www.abbotskerswell-pc.gov.uk/wp-content/uploads/sites/117/2025/11/Grievance-Policy-2025.pdf,Grievance Policy 2025,code of practice,individual,No,,0,No,Low,Yes,2026-09-09











Abdon and Heath Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.abdonandheathparish.gov.uk/community/abdon-and-heath-parish-gov-uk-10606/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09













Aberford Parish Council,,Parish Council ,FOIA | ONS,IS,https://www.aberford-pc.gov.uk/,Y,Y,Y,Y,Y,Y,Y,Yes,,found_via_name_search,https://www.aberford-pc.gov.uk/wp-content/uploads/2025/10/ADPC-Members-Code-of-Conduct-12-2022.pdf,code of conduct,code of conduct,individual,Yes,7,7,No,High,No,2026-09-09




















Abbotsley Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.abbotsleyparishcouncil.gov.uk,Y,Y,Y,Y,Y,Y,Y,Yes,,,https://abbotsleyparishcouncil.gov.uk/wp-content/uploads/2026/02/2026-Model-Councillor-Code-of-Conduct.pdf,code of conduct,code of conduct,individual,Yes,7,7,No,High,No,2026-09-09


Abbotts Ann Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.abbottsann-pc.gov.uk,N,N,N,N,N,N,N,No,,,https://www.abbottsann-pc.gov.uk/community/abbotts-ann-parish-council-12724/council-policies-and-procedures/,"Council Policies and Procedures - Abbotts Ann Parish Council  - Abbotts Ann Parish Council, Abbotts Ann, Andover",code of conduct,individual,No,,0,No,Medium,No,2026-09-09




Aberford and District Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.aberford-pc.gov.uk,Y,Y,Y,Y,Y,Y,Y,Yes,,,https://www.aberford-pc.gov.uk/wp-content/uploads/2025/10/ADPC-Members-Code-of-Conduct-12-2022.pdf,code of conduct,code of conduct,individual,Yes,7,7,No,High,No,2026-09-09











Abingdon on Thames Parish Council,,Parish Council ,FOIA | ONS,IS,https://www.abingdon.gov.uk/wp-content/uploads/2025/02/Draft-Minutes-Planning-committee-03.02.2025-1.pdf,N,N,N,N,N,N,N,No,,found_via_name_search,https://www.abingdon.gov.uk/wp-content/uploads/2020/11/public_speaking_at_council_meetings_0.pdf,public to address and ask questions of the council.,code of conduct; code of practice,individual,No,,0,No,Medium,No,2026-09-09

Abington Pigotts Parish Council,,Parish Council ,FOIA | ONA,IS,https://abington-pigotts.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09













Abney and Abney Grange Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,


Abinger Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://www.surreycommunity.info/abingerparishcouncil,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Abthorpe Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://abthorpeparish.gov.uk/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09


Aby With Greenfield Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://aby-greenfield.parish.lincolnshire.gov.uk/homepage,N,N,N,N,N,N,N,No,,found_via_name_search,https://aby-greenfield.parish.lincolnshire.gov.uk/downloads/download/4/policies?downloadID=4,Policies – Aby with Greenfield Parish Council,code of conduct,individual,No,,0,No,Medium,No,2026-09-09






Above Derwent Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.abovederwent.org.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09

Acaster Selby Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,















Acaster Malbis Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.acastermalbis-pc.gov.uk,Y,N,N,Y,N,N,N,No,,,https://acastermalbis-pc.gov.uk/wp-content/uploads/DR028-Public-Participation.pdf,code of conduct,code of conduct; code of practice,individual,No,,2,No,Medium,No,2026-09-09




Acklington Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.acklingtonparish.org.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09

Ackworth Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.ackworthparishcouncil.gov.uk,N,N,N,N,Y,N,N,No,,,https://www.ackworthparishcouncil.gov.uk/_UserFiles/Files/_Agendas/210819-260914_Parish_Council_Meeting_Agenda_Resident.pdf,Agenda,code of conduct,individual,No,,1,No,Medium,No,2026-09-09
Acle Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://acleparishcouncil.gov.uk/,Y,N,Y,N,N,N,Y,No,,found_via_name_search,https://acleparishcouncil.gov.uk/wp-content/uploads/2025/05/Code-of-Conduct-2026-1.pdf,code of conduct,code of conduct,individual,Yes,7,3,Yes,Medium,Yes,2026-09-09
Acol Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://www.acolparishcouncil.co.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09






Acomb Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.acomb.ukpc.net,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Aconbury Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,




Acrise Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,

Acton Beauchamp Group Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.actonbeauchamp-gpc.co.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09

Acton Beauchamp Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,
Acton Bridge Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.actonbridgeparishcouncil.org,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09



Acton Burnell Parish Council,,Parish Council ,FOIA | ONA,IS,https://www.actonburnell-pc.gov.uk/,Y,Y,Y,Y,Y,Y,Y,Yes,,found_via_name_search,https://www.actonburnell-pc.gov.uk/sites/default/files/model_councillor_code_of_conduct_2020_v2_0121.pdf,code of conduct,code of conduct,individual,Yes,7,7,No,High,No,2026-09-09







"Acton Burnell, Frodesley, Pitchford, Ruckley and Langley Parish Council",Local government,Parish Council ,FOIA | ONS,IS ,https://www.actonburnellparishcouncil.org.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Acton Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://actonparishcouncil.gov.uk/,N,N,N,Y,N,N,N,No,,found_via_name_search,https://actonparishcouncil.gov.uk/wp-content/uploads/2026/07/2026-07-15-July-Agenda-Pack.pdf,Agenda,code of conduct; code of practice,individual,No,,1,No,Medium,No,2026-09-09



Acton Scott Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,
Acton Trussell and Bednall Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,



"Acton Trussell, Bednall and Teddesley Hay Parish Council",Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,
Acton Turville Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.actonturville-pc.gov.uk/community/acton-turville-parish-council-20988/home/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09



"Acton, Edleston and Henhull Parish Council",Local government,Parish Council ,FOIA | ONS,IS ,https://www.acton-parish-council.org.uk/contact/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09







Adbaston Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,


Adderstone with Lucker Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,
































Addlethorpe Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://addlethorpe.parish.lincolnshire.gov.uk/homepage,N,N,N,N,N,N,N,No,,found_via_name_search,https://addlethorpe.parish.lincolnshire.gov.uk/downloads/download/9/finances-and-policies?downloadID=9,Finances and Policies – Addlethorpe Parish Council,code of conduct,individual,No,,0,No,Medium,No,2026-09-09
Adforton Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,








Adstone Parish Council,,Parish Council ,FOIA | ONA,IS,https://adstone.parish.uk/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09
Advent Parish Council,,Parish Council ,FOIA | ONA,IS,https://advent.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09











Adderbury Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.adderburypc.co.uk/,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09

Adderley Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.adderleyparish.co.uk,Y,Y,Y,Y,Y,Y,Y,Yes,,,https://adderleyparish.co.uk/wp-content/uploads/2021/12/Model-Councillor-Code-of-Conduct.pdf,code of conduct,code of conduct,individual,Yes,7,7,No,High,No,2026-09-09







Addingham Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.addingham-pc.gov.uk,N,Y,N,N,N,N,N,No,,,https://www.addingham-pc.gov.uk/wp-content/uploads/sites/116/2026/09/2609-Notice-Agenda-Extraordinary-Council-Meeting-September-2026.pdf,"Opens in new tab 14 Sep Extraordinary Meeting of Council THE MEMORIAL HALL, HUB - 6:00pm Extraordinary Meeting of the Council Agenda",code of conduct; code of practice; standards of conduct,individual,No,,1,No,Medium,No,2026-09-09
Addington Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.addingtonpc.onmicrosoft.com,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09







Adisham Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.adisham-pc.gov.uk,Y,N,N,N,N,N,N,No,,,https://adisham-pc.gov.uk/wp-content/uploads/2020/07/Adisham-Parish-Council-schedule-of-delegation.pdf,Adisham-Parish-Council-schedule-o...,code of conduct,individual,No,,1,No,Medium,No,2026-09-09










Adlington Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.adlington-pc.org.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09

Admington Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://admingtonpc.co.uk/,N,N,N,N,N,N,N,No,,,https://admingtonpc.co.uk/page/governance,Governance & Policies – Admington Parish Council,code of conduct,individual,No,,0,No,Medium,No,2026-09-09

Adstock Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.adstockvillage.info,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Adwell Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,

Affpuddle and Turnerspuddle Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,













Agden Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,






Adwick upon Dearne Parish Council,,Parish Council ,FOIA | ONA,IS,https://adwickupondearneparishcouncil.org.uk/,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Adwick-on-Dearne Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.adwickupondearneparishcouncil.org.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09





"Aighton, Bailey and Chaigley Parish Council",Local government,Parish Council ,FOIA | ONS,IS ,https://www.aightonbaileyandchaigley-pc.gov.uk/,N,N,N,Y,N,N,N,No,,found_via_name_search,https://www.aightonbaileyandchaigley-pc.gov.uk/other-documents/,Other Documents | Aighton Bailey and Chaigley Parish Council,code of conduct,individual,No,,1,No,Medium,No,2026-09-09



Aikton Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://aikton.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09

Ailsworth Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://ailsworth-pc.gov.uk/,Y,Y,Y,Y,Y,Y,Y,Yes,,found_via_name_search,https://ailsworth-pc.gov.uk/wp-content/uploads/2026/01/New-code-of-conduct-July-2021.pdf,code of conduct,code of conduct,individual,Yes,7,7,No,High,No,2026-09-09
Ainderby Miers with Holtby Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,
Ainderby Mires with Holtby and Hackforth Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,

Ainderby Quernhow Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,
Ainderby Steeple Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,


Ainstable Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.ainstable.org.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Aintree Village Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.aintreevillageparishcouncil.gov.uk,N,Y,Y,Y,N,N,N,No,,,https://aintreevillageparishcouncil.gov.uk/wp-content/uploads/simple-file-list/Policies/Report-on-Financial-Regulations-2019-20th-January.pdf,Report-on-Financial-Regulations-2019-20th-January.pdf,code of conduct,individual,No,,3,No,Medium,No,2026-09-09



Airmyn Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://airmynpc.org.uk/,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Airton Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,









Aiskew and Leeming Bar Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://aiskewleemingbar-pc.gov.uk/,N,N,N,N,N,N,N,No,,,https://aiskewleemingbar-pc.gov.uk/downloads.php?did=1000&filename=01.%20Master%20list%20of%20Aiskew%20and%20Leeming%20Bar%20Policies.pdf,01. Master list of Aiskew and Leeming Bar Policies.pdf,code of conduct,individual,No,,0,No,Medium,No,2026-09-09

Aislaby (Scarborough) Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,
Aislaby Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://aislabyparishcouncil.wordpress.com/,N,N,N,Y,N,N,N,No,,found_via_name_search,https://aislabyparishcouncil.wordpress.com/wp-content/uploads/2021/08/minutes-22-june-2021.pdf,Minutes 22 June 2021,code of conduct; code of practice,individual,No,,1,No,Medium,No,2026-09-09

"Aislaby, Middleton and Wrelton Parish Council",Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,
Aisthorpe Parish Council,,Parish Council ,FOIA | ONA,IS,https://aisthorpe.parish.uk/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09











Akebar Parish Council,,Parish Council ,FOIA | ONA,IS,https://akebar.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09
Akeld Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,



Akenham Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,
Akeley Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.akeleyparishcouncil.gov.uk/,N,N,N,N,N,N,N,No,,,https://www.akeleyparishcouncil.gov.uk/wp-content/uploads/sites/128/2026/07/APC-meeting-Agenda-13th-July-2026-1.pdf,Apc Meeting Agenda 13th July 2026 (1),code of conduct; code of practice,individual,No,,0,No,Medium,No,2026-09-09
Alberbury with Cardeston Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.alberburywithcardestonparishcouncil.gov.uk/community/alberbury-with-cardeston-13546/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09



Albrighton and Donington Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://albrightondonington-pc.gov.uk/parish-council/councillors,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09
Albourne Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://www.albourneparishcouncil.co.uk/,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Alburgh Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.alburgh.org.uk/governance/parish-council/,Y,Y,Y,Y,Y,Y,Y,Yes,,found_via_name_search,http://www.alburgh.org.uk/wp-content/uploads/2026/02/Code-of-Conduct-2026.pdf,code of conduct,code of conduct,individual,Yes,7,7,No,High,No,2026-09-09

Albrighton Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.albrightonparishcouncil.gov.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09

"Albury Parish Council, East Hertfordshire",Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,
Albury Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://alburyparish.org/,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09



Alby with Thwaite Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,


Alciston Parish Council,,Parish Council ,FOIA | ONA,IS,,,,,,,,,,,,,,,,,,,,,,
Aldborough & Thurgarton Parish Council,,Parish Council ,FOIA | ONA,IS,https://aldboroughandthurgarton.norfolkparishes.gov.uk/policies-and-procedure/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09
Alconbury Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.alconburyparishcouncil.gov.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Alconbury Weston Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.alconburywestonparishcouncil.co.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09




















Aldborough and Thurgaton Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,,,,,,,,,,,,,,,,,,,,,,

Aldbourne Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://aldbourne-pc.gov.uk/,Y,Y,Y,Y,Y,Y,Y,Yes,,found_via_name_search,https://aldbourne-pc.gov.uk/wp-content/uploads/2025/12/code-of-conduct-oct-2012-september-2025-r.pdf,code of conduct,code of conduct; code of practice,individual,No,,7,No,High,No,2026-09-09






Aldbrough St John Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.aldbroughstjohnparishcouncil.gov.uk/home,N,N,N,N,N,N,N,No,,found_via_name_search,https://www.aldbroughstjohnparishcouncil.gov.uk/_files/ugd/e6c454_8622c2a4d6c6473bbb949d34688ccf05.pdf,Actions in Progress,code of conduct,individual,No,,0,No,Low,Yes,2026-09-09
Aldcliffe-with-Stodday Parish Council,,Parish Council ,FOIA | ONA,IS,https://aldcliffewithstoddaypc.org/contact-us/,N,N,N,N,N,N,N,No,,found_via_name_search,https://aldcliffewithstoddaypc.org/wp-content/uploads/2018/12/17-06-06-Agenda.pdf,06/06/17 Agenda,code of conduct,individual,No,,0,No,Medium,No,2026-09-09



Aldbrough Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,http://www.aldbroughparishcouncil.co.uk/,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09


Aldeburgh Parish Council,,Parish Council ,FOIA | ONA,IS,https://aldeburgh.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09

Aldbury Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.aldburyparish.org.uk,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Aldcliffe with Stodday Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.aldcliffewithstoddaypc.org,not located,not located,not located,not located,not located,not located,not located,No,,,,,,individual,No,,0,No,Low,Yes,2026-09-09
Aldeby Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.aldeby-pc.org.uk/sitemap,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09

















Alderford Parish Council,,Parish Council ,FOIA | ONA,IS,https://alderford.parish.uk/parish-council/,not located,not located,not located,not located,not located,not located,not located,No,,found_via_name_search,,,,individual,No,,0,No,Low,Yes,2026-09-09



































































































Aldenham Parish Council,Local government,Parish Council ,FOIA | ONS,IS ,https://www.aldenham-pc.gov.uk,N,N,N,Y,N,N,N,No,,,https://aldenham-pc.gov.uk/wp-content/uploads/2025/03/Allotment-Tenants-Handbook.pdf,Allotment Tenants Handbook,code of conduct,individual,No,,1,No,Medium,No,2026-09-09













